,insert_BST_mean,insert_BST_std ,insert_map_mean,insert_map_std,copy_BTS_mean,copy_BTS_std,copy_map_mean,copy_map_std,find_BST_mean,find_BST_std,find_map_mean,find_map_std,modify_BST_mean,modify_BST_std,modify_map_mean,modify_map_std,erase_BST_mean,erase_BST_std,erase_map_std
110,410.779,657.9506639247357,342.8,50.81332502405244,9503.119,2848.5524135671094,4478.96,1836.0738237881374,251.202,67.02176658370024,215.291,743.7015075411641,321.387,605.6145500489566,196.327,24.38040342160072,1253.559,1562.3713727916936,236.415
111,350.973,104.47168167020187,372.286,771.946030629085,9647.033,3126.946427732813,4424.374,1492.1749482295972,330.217,1078.8022190888375,189.978,23.353105061211867,313.238,82.28356674330547,228.686,667.0484565636892,1279.511,1290.868595899288,240.435
112,383.589,626.3308774753164,347.814,77.05674145718851,9533.213,2089.8531526475726,4547.391,1894.4562396949173,309.914,797.6202960080692,190.275,24.81063028219962,333.315,714.9322511783894,197.804,23.577522855465535,1252.479,1649.499584588914,270.146
113,375.879,627.490650415606,363.864,490.70324179080006,9790.916,3129.5259997232774,4657.528,3446.751032380494,278.558,639.4338735444032,185.725,22.565668060130598,325.277,462.7573319473177,207.553,78.17518270525494,1437.838,1857.788357094533,230.469
114,372.403,687.4419208856846,350.042,56.8085225648406,9670.317,2547.7704312812407,4630.292,2166.899477302996,263.531,76.27386865106551,190.827,22.579084813162797,350.103,786.3915808240828,233.672,801.8171464966313,1315.007,1683.4888045220257,238.219
115,378.511,624.8391023927678,352.276,54.168790128634015,9697.157,2582.244552390614,4779.177,2755.7865392063654,294.583,810.8114744569178,189.466,24.64120216223223,318.988,532.68980265817,233.886,756.4286780681971,1312.793,1482.8298918456544,245.499
116,403.846,905.9866601026748,365.211,664.0844272221722,10071.652,3430.339828194286,4581.686,1973.3654034172187,302.229,896.741679949695,219.913,666.2757007658317,346.724,915.1627602913046,199.797,22.89597761616654,1324.28,1359.1293719142416,215.028
117,356.201,98.04958234995192,349.731,50.38335676590041,9854.23,2523.617287367481,4611.115,1693.1684038438136,303.145,963.8346974326041,226.244,777.8008912723099,329.648,711.0193218865431,222.247,759.7520661314451,1371.832,1732.070048749762,216.007
118,351.647,90.701733120156,360.042,440.26527484688137,9929.676,2862.9617596160783,4803.297,2747.5108740077803,287.743,617.8481439245408,210.538,643.6804382269191,337.802,613.5686210979179,212.599,479.364001776312,1315.481,1267.5622318604326,226.701
119,357.226,470.6924398415592,368.849,620.9954912871747,10138.757,3711.7474060004383,4595.124,1391.9958234937335,309.051,758.6304148918631,216.197,867.9631652270738,343.362,805.652128996132,245.229,724.3650934156062,1346.443,1924.983060899757,217.294
120,356.771,84.10213171495712,386.296,913.2988012605732,9974.772,2930.864892828737,4659.991,1783.6107313309692,299.377,824.3569899448912,203.169,427.39714369541605,327.966,766.945999953061,200.697,23.69572094281999,1220.793,1122.285104664141,264.076
121,356.759,123.54364782942106,349.432,42.864920109572104,10149.204,3223.159175464966,4697.394,1845.998191972028,242.538,73.24071651752182,191.559,24.20509283188148,313.524,207.45260524755992,199.401,25.19131197456774,1345.365,1718.85046987078,253.682
122,381.565,671.5431093943257,401.491,888.1774585740176,10187.729,3365.0804331485137,4714.228,1923.0662744731387,314.667,873.856262843611,225.147,770.7576839649413,329.011,449.5956326289209,204.276,70.06160021010083,1206.215,814.3165396668553,229.872
123,372.931,103.86863934316276,347.356,45.72622074915008,10283.279,3260.306996765639,4704.992,1663.1328876358627,249.318,67.15683789458821,189.538,23.284298486319052,319.663,501.39065550825774,239.013,657.3527963209712,1333.484,1342.0959607062377,243.308
124,382.981,683.3658424584894,348.587,47.92861807938969,10342.116,3530.2133672830596,4932.883,2766.068593023499,256.619,66.66351205119632,210.282,657.0361226568903,322.111,454.5301933634329,207.948,76.53624824878732,1325.336,1549.0224133639902,232.154
125,386.18,803.1321358282203,365.689,657.8381018753777,10193.145,2805.046836324664,4619.681,1064.7038420326096,276.034,628.2806433784193,211.049,631.2368656843474,426.824,1590.260206074465,206.896,77.45053378770221,1477.879,1571.5388319602534,208.293
126,364.412,447.3646412670544,365.43,536.1729675207433,10182.408,2602.6331342576877,4734.273,1758.2312357795813,263.295,73.37663098698393,218.036,711.4970686545375,360.359,802.3198826646386,200.522,25.06366924454597,1462.279,1586.060855439978,214.118
127,398.438,775.439484522165,351.739,48.8555102214684,10228.05,2664.7424283596315,4774.897,1848.3769730201134,284.747,633.3999486825047,188.345,23.10103839657431,321.964,520.2529372372636,198.411,23.869940909017725,1296.278,844.3657055541747,239.709
128,404.034,903.7563193936738,358.589,441.63947296295896,10341.432,3257.5805416560315,4866.064,2007.535048238013,269.825,442.64495521241344,189.206,22.014258197813522,331.686,813.9440333364447,209.813,426.50167412449844,1269.869,885.4504920315989,214.386
129,346.642,98.55493816141332,348.101,49.7661611840817,10259.562,2507.7352978645913,4871.572,2052.151626175805,259.321,77.64193428167532,188.71,27.228549355410042,319.533,444.55223867505157,220.975,647.1408922135913,1349.57,1649.3102300962062,244.163
130,397.694,675.0399901961365,472.143,2740.5761690839754,10383.284,2979.0283884756786,4765.104,1470.2679909404255,258.795,72.25790596882815,189.77,22.518461315107658,337.797,678.3533620400214,205.927,81.08882580849222,1441.245,1294.8440844267695,230.758
131,363.223,558.1705485521429,392.637,1024.2616156192714,10517.826,6415.800100043956,4826.287,1956.2001432959257,294.207,765.5304514851126,189.707,24.59059070050981,359.778,1434.8083574875084,200.602,28.05290708643224,1343.933,1582.920527541102,222.11
132,359.937,100.96832687036064,390.532,993.4659354884795,10423.102,2773.67169174652,4905.616,2075.7852028916695,272.347,453.15967229112493,187.3,24.950911806986138,320.832,502.68982660881426,200.236,22.637983655794063,1331.636,1271.5601619679662,228.955
133,357.506,93.32309448362713,471.373,3009.3215783413702,10463.554,3166.2281122945024,5013.106,3932.841118423675,329.294,1127.330994679025,186.798,24.892914574231753,348.798,983.6575172263972,199.618,23.066297405522214,1427.401,1670.0890318180643,203.6
134,347.647,93.14034781446763,363.323,442.1278600936605,10387.94,2459.9123485197624,4867.37,1689.9906872820338,288.395,778.6905206659454,205.482,441.0604807461217,326.148,461.2762080315872,199.537,23.52404367875556,1347.536,1704.3259766558754,211.274
135,375.219,441.42439787465304,388.858,877.7641937536525,10742.967,5158.776499899078,4980.403,3137.379149320493,282.293,615.919000478959,209.974,625.4613907540577,311.051,439.732553262776,196.943,30.23146954747651,1385.806,1108.1338891866806,238.9
136,389.904,478.4188403313569,345.969,42.7034663581307,10864.245,3909.4590384060816,4818.478,1151.4134867700657,263.733,441.813707020278,233.588,798.9362153864345,337.675,626.5050353947673,220.449,702.8643364113731,1357.359,1060.5208513362668,203.376
137,390.981,661.1389828462699,362.955,442.5372243947397,10604.545,2875.243432472283,4923.848,1846.9974025146873,279.376,730.5619649447948,204.188,433.53002970497903,325.458,652.7091115006749,200.96,26.32250747934171,1300.754,1223.7704872581294,208.912
138,424.437,941.1081075152844,361.901,432.0416313261955,10665.114,3196.6635723835557,4910.625,1740.7960789176313,292.702,627.18861532716,201.325,440.2235970220121,326.77,612.556266068677,199.356,24.646161242676328,1330.334,1434.6059913592999,213.034
139,356.248,91.52760510359711,362.628,432.97557161576685,10724.589,3174.0204999462417,5062.031,3275.956369678784,257.319,70.60481031062965,215.028,485.5954625158683,450.421,2721.446433380418,207.403,25.342860750120536,1343.915,1355.6728867153013,209.264
140,346.228,101.52257884825414,346.637,60.397559809979086,10733.858,2884.8867083190644,5084.334,2341.85042443876,319.315,1126.3768879797738,191.946,24.029546063128205,319.127,435.2257699987444,207.496,151.7272618351758,1352.58,1317.5389207154383,210.377
141,358.949,454.9357761255983,374.248,754.4960533336146,10727.275,2654.566938951629,5080.417,2309.6423569702297,253.867,70.05498776675357,200.939,431.4381824537554,348.41,752.9986573029196,246.162,1156.1044925766923,1202.521,1196.369525505811,208.345
142,381.769,450.13749637083146,349.841,47.513426723401096,10997.335,5273.896208760181,4956.616,1677.0536928029464,293.652,626.8708853472136,202.812,443.850556669697,321.529,451.9591034142358,240.727,792.5786348817385,1279.883,973.005693360013,220.306
143,376.597,447.32836551128725,348.247,45.435162495582624,10811.296,2684.238949569133,4934.305,1288.4648842614995,264.807,436.6388184197552,186.606,24.086900257193815,354.223,899.3203996746654,201.308,29.221449929803278,1256.11,1035.667199393705,207.481
144,356.011,90.8531390707003,356.126,433.87780782612055,10815.098,2721.153234273292,5082.059,3033.5793741913226,285.054,637.8041259540425,212.601,774.2641460115533,315.633,441.49732084238076,195.601,23.795457528696506,1344.671,1251.278987579908,200.335
145,405.335,1525.7226395301998,393.952,908.0597687905796,11230.629,4560.521673598209,5134.266,2537.9477199587877,270.72,438.12891892683825,196.707,241.89670760677987,330.628,616.1596105036424,199.507,37.171682111521385,1375.111,1165.6513812795836,227.733
146,369.758,106.91409372014526,365.791,438.8079070834983,11085.597,3574.952004515724,5186.359,2630.997895118694,294.55,807.5601138615006,187.268,23.395644380952643,355.312,780.2536284157861,200.096,23.841325130956967,1361.934,1401.6289393573466,224.421
147,343.701,109.96395590828844,346.604,54.52184134821569,11155.828,3818.9219552664345,5179.046,2474.5615663959534,259.37,68.83806432490678,190.362,23.323613699424868,314.974,71.31185963077942,212.477,433.9498144613042,1397.838,1399.5832850373715,211.475
148,373.56,99.82541960843434,360.857,431.01263386471686,11220.156,4493.571249203022,5125.168,2146.53737907729,277.311,624.2517234890097,187.835,24.76250744573338,365.926,940.4909858813106,200.646,24.775041553951013,1405.765,1232.268088434899,201.339
149,406.073,889.8901458444171,346.861,51.47857495113863,11011.316,2907.630161513668,5116.651,2086.645584951839,254.369,74.37194927524757,202.164,449.891103606195,314.86,449.4188852284699,226.497,637.608997733721,1403.102,744.3011686112017,220.537
